"Date","rlc_end_time","nubbinID","uid","rlc_day","phase_full","tp2","pmax","maxNPQ_Ypoint1","deltaNPQ","alpha_est","alpha_st_err","alpha_t","alpha_p","ek_est","ek_st_err","ek_t","ek_p","QuanYield","F0","Fm","rlc_order","genotype","phase","trt1","trt2","rank"
"2024-06-25","2:03:17 PM",30,"2024-06-25_30",1,"acclimation","a",37.79,0.483,0.478,0.751826515690257,0.0312346885692335,24.0702420971411,3.37811312659457e-07,50.2605760210779,4.2966370178692,11.697654656898,2.35375587901484e-05,0.665,218,651,10,"J","i","nut","NO3",29
"2024-06-25","2:08:12 PM",4,"2024-06-25_4",1,"acclimation","a",95.17,1.088,1.053,0.71322166929792,0.0202428220375414,35.2333122316252,3.48406139539374e-08,133.431496663923,10.1812109426487,13.1056607524929,1.21727582040247e-05,0.734,214,804,10,"B","i","dead","dead",30
"2024-06-25","2:13:34 PM",12,"2024-06-25_12",1,"acclimation","a",92.01,0.802,0.793,0.710419420343389,0.0174167127005852,40.7895239794316,1.45180393942385e-08,129.518694996542,8.47152313270624,15.2887140798218,4.94509733123612e-06,0.734,251,944,11,"D","i","CTL","CTL",31
"2024-06-25","2:20:34 PM",42,"2024-06-25_42",1,"acclimation","a",48.89,0.52,0.513,0.748513800006817,0.0228820324269767,32.7118581968426,5.42872236840218e-08,65.3120645982672,4.44095937399924,14.7067466954671,6.20867645326299e-06,0.66,255,751,11,"N","i","CTL","CTL",32
"2024-06-25","2:26:31 PM",44,"2024-06-25_44",1,"acclimation","a",33.5,0.66,0.6,0.733137597819211,0.033365772126985,21.9727448544875,5.80651340131969e-07,45.690434163001,4.15362272357205,11.0001406491989,3.35512759930918e-05,0.672,260,792,11,"O","i","dead","dead",33
"2024-06-25","2:31:20 PM",34,"2024-06-25_34",1,"acclimation","a",30.01,0.732,0.684,0.838952880513288,0.0447426188877949,18.7506431533927,1.4856337478086e-06,35.7743428499256,3.51989093530404,10.1634804905782,5.28003236983456e-05,0.677,247,764,12,"L","i","dead","dead",34
"2024-06-25","2:36:12 PM",26,"2024-06-25_26",1,"acclimation","a",37.71,0.388,0.377,0.776884145036266,0.0301853431375288,25.7371314779053,2.26809873914425e-07,48.5460056883026,3.83987015293151,12.6426164830706,1.50055341804889e-05,0.673,218,666,12,"I","i","nut","NH4",35
"2024-06-25","2:50:39 PM",25,"2024-06-25_25",1,"acclimation","a",38.88,0.376,0.366,0.75579652802838,0.0240830151535234,31.3829694168425,6.95368545661127e-08,51.4453814129518,3.39732894815424,15.1428908410243,5.23112966917517e-06,0.672,269,819,12,"I","i","nut","NO3",36
"2024-06-25","2:57:59 PM",7,"2024-06-25_7",1,"acclimation","a",30.86,0.357,0.338,0.751537327769575,0.0249982023670693,30.0636548474218,8.98482233855908e-08,41.0582762958101,2.63640329136055,15.5735946887782,4.43713624919114e-06,0.661,258,760,13,"C","i","CTL","CTL",37
"2024-06-25","3:04:48 PM",24,"2024-06-25_24",1,"acclimation","a",40.71,0.702,0.656,0.735009637797329,0.0183643995652049,40.0236139051318,1.62608672738849e-08,55.3810314588682,2.93240803876524,18.8858544673025,1.42384266520813e-06,0.668,290,873,13,"H","i","CTL","CTL",38
"2024-06-25","3:09:30 PM",27,"2024-06-25_27",1,"acclimation","a",38.4,0.486,0.467,0.74231695961075,0.0318439022241491,23.3111179146822,4.08700297734627e-07,51.7239335449386,4.60606711382432,11.2295223379829,2.97929331086238e-05,0.684,237,749,13,"I","i","dead","dead",39
"2024-06-25","3:14:14 PM",33,"2024-06-25_33",1,"acclimation","a",26.71,0.464,0.412,0.810721476965959,0.0413483579056882,19.6071021445432,1.14068244157345e-06,32.9456400749674,3.01512613117553,10.9267866887289,3.48672321698527e-05,0.654,251,726,14,"K","i","dead","dead",40
"2024-06-25","3:41:34 PM",18,"2024-06-25_18",1,"acclimation","a",34.63,0.811,0.782,0.748748362625556,0.067176906731759,11.1459190226687,3.11032181450186e-05,46.2441800406997,8.31906013055874,5.55882266926153,0.00143433804583049,0.656,234,681,14,"F","i","nut","NH4",41
"2024-06-25","3:46:09 PM",31,"2024-06-25_31",1,"acclimation","a",32.34,0.426,0.406,0.800615951751471,0.042623893560261,18.7832664939343,1.47044392034861e-06,40.3994445100515,4.13027241303533,9.78130265271343,6.56944344838802e-05,0.639,272,753,14,"K","i","nut","NH4",42
